Municipios	Periodo	Total
03019 Aspe	1950	8.770
03019 Aspe	1940	7.812
03019 Aspe	1930	7.351
03019 Aspe	1920	7.650
03019 Aspe	1910	7.961
03019 Aspe	1900	7.927
03020 Balones	1991	152
03020 Balones	1981	203
03020 Balones	1970	242
03020 Balones	1960	293
03020 Balones	1950	303
03020 Balones	1940	298
03020 Balones	1930	322
03020 Balones	1920	313
03020 Balones	1910	353
03020 Balones	1900	381
03021 Banyeres de Mariola	1991	6.919
03021 Banyeres de Mariola	1981	6.684
03021 Banyeres de Mariola	1970	5.873
03021 Banyeres de Mariola	1960	4.967
03021 Banyeres de Mariola	1950	3.729
03021 Banyeres de Mariola	1940	3.447
03021 Banyeres de Mariola	1930	3.698
03021 Banyeres de Mariola	1920	3.691
03021 Banyeres de Mariola	1910	3.224
03021 Banyeres de Mariola	1900	3.317
03022 Benasau	1991	221
03022 Benasau	1981	253
03022 Benasau	1970	341
03022 Benasau	1960	397
03022 Benasau	1950	470
03022 Benasau	1940	481
03022 Benasau	1930	478
03022 Benasau	1920	493
03022 Benasau	1910	516
03022 Benasau	1900	651
03023 Beneixama	1991	1.866
03023 Beneixama	1981	1.895
03023 Beneixama	1970	2.078
03023 Beneixama	1960	2.252
03023 Beneixama	1950	2.183
03023 Beneixama	1940	2.073
03023 Beneixama	1930	2.197
03023 Beneixama	1920	2.328
03023 Beneixama	1910	2.622
03023 Beneixama	1900	2.529
03024 Benejúzar	1991	4.621
03024 Benejúzar	1981	4.041
03024 Benejúzar	1970	3.516
03024 Benejúzar	1960	3.705
03024 Benejúzar	1950	3.527
03024 Benejúzar	1940	3.119
03024 Benejúzar	1930	2.977
03024 Benejúzar	1920	2.634
03024 Benejúzar	1910	2.518
03024 Benejúzar	1900	2.094
03025 Benferri	1991	949
03025 Benferri	1981	909
03025 Benferri	1970	894
03025 Benferri	1960	1.016
03025 Benferri	1950	1.041
03025 Benferri	1940	981
03025 Benferri	1930	899
03025 Benferri	1920	896
03025 Benferri	1910	936
03025 Benferri	1900	915
03026 Beniarbeig	1991	1.160
03026 Beniarbeig	1981	1.091
03026 Beniarbeig	1970	1.163
03026 Beniarbeig	1960	1.146
03026 Beniarbeig	1950	969
03026 Beniarbeig	1940	936
03026 Beniarbeig	1930	909
03026 Beniarbeig	1920	849
03026 Beniarbeig	1910	885
03026 Beniarbeig	1900	917
03027 Beniardá	1991	234
03027 Beniardá	1981	264
03027 Beniardá	1970	314
03027 Beniardá	1960	397
03027 Beniardá	1950	464
03027 Beniardá	1940	509
03027 Beniardá	1930	521
03027 Beniardá	1920	556
03027 Beniardá	1910	580
03027 Beniardá	1900	741
03028 Beniarrés	1991	1.445
03028 Beniarrés	1981	1.635
03028 Beniarrés	1970	1.712
03028 Beniarrés	1960	1.726
03028 Beniarrés	1950	2.185
03028 Beniarrés	1940	1.921
03028 Beniarrés	1930	1.849
03028 Beniarrés	1920	1.773
03028 Beniarrés	1910	1.741
03028 Beniarrés	1900	1.381
03030 Benidoleig	1991	826
03030 Benidoleig	1981	725
03030 Benidoleig	1970	681
03030 Benidoleig	1960	678
03030 Benidoleig	1950	703
03030 Benidoleig	1940	719
03030 Benidoleig	1930	675
03030 Benidoleig	1920	678
03030 Benidoleig	1910	527
03030 Benidoleig	1900	641
03031 Benidorm	1991	75.322
03031 Benidorm	1981	25.544
03031 Benidorm	1970	12.124
03031 Benidorm	1960	6.259
03031 Benidorm	1950	2.726
03031 Benidorm	1940	2.955
03031 Benidorm	1930	3.113
03031 Benidorm	1920	2.976
03031 Benidorm	1910	3.498
03031 Benidorm	1900	3.417
03032 Benifallim	1991	166
03032 Benifallim	1981	196
03032 Benifallim	1970	183
03032 Benifallim	1960	267
03032 Benifallim	1950	339
03032 Benifallim	1940	389
03032 Benifallim	1930	511
03032 Benifallim	1920	401
03032 Benifallim	1910	508
03032 Benifallim	1900	547
03033 Benifato	1991	117
03033 Benifato	1981	120
03033 Benifato	1970	164
03033 Benifato	1960	194
03033 Benifato	1950	252
03033 Benifato	1940	306
03033 Benifato	1930	268
03033 Benifato	1920	285
03033 Benifato	1910	334
03033 Benifato	1900	349
03029 Benigembla	1991	308
03029 Benigembla	1981	420
03029 Benigembla	1970	549
03029 Benigembla	1960	564
03029 Benigembla	1950	689
03029 Benigembla	1940	693
03029 Benigembla	1930	730
03029 Benigembla	1920	649
03029 Benigembla	1910	667
03029 Benigembla	1900	758
03034 Benijófar	1991	1.507
03034 Benijófar	1981	1.344
03034 Benijófar	1970	1.136
03034 Benijófar	1960	1.134
03034 Benijófar	1950	1.166
03034 Benijófar	1940	1.121
03034 Benijófar	1930	1.118
03034 Benijófar	1920	914
03034 Benijófar	1910	918
03034 Benijófar	1900	750
03035 Benilloba	1991	900
03035 Benilloba	1981	1.023
03035 Benilloba	1970	1.189
03035 Benilloba	1960	1.232
03035 Benilloba	1950	1.144
03035 Benilloba	1940	1.026
03035 Benilloba	1930	1.041
03035 Benilloba	1920	1.228
03035 Benilloba	1910	1.087
03035 Benilloba	1900	1.541
03036 Benillup	1991	76
03036 Benillup	1981	62
03036 Benillup	1970	102
03036 Benillup	1960	103
03036 Benillup	1950	95
03036 Benillup	1940	137
03036 Benillup	1930	113
03036 Benillup	1920	144
03036 Benillup	1910	160
03036 Benillup	1900	207
03037 Benimantell	1991	404
03037 Benimantell	1981	408
03037 Benimantell	1970	480
03037 Benimantell	1960	627
03037 Benimantell	1950	764
03037 Benimantell	1940	790
03037 Benimantell	1930	837
03037 Benimantell	1920	896
03037 Benimantell	1910	875
03037 Benimantell	1900	934
03038 Benimarfull	1991	379
03038 Benimarfull	1981	410
03038 Benimarfull	1970	532
03038 Benimarfull	1960	573
03038 Benimarfull	1950	719
03038 Benimarfull	1940	739
03038 Benimarfull	1930	767
03038 Benimarfull	1920	753
03038 Benimarfull	1910	797
03038 Benimarfull	1900	780
03039 Benimassot	1991	118
03039 Benimassot	1981	113
03039 Benimassot	1970	157
03039 Benimassot	1960	221
03039 Benimassot	1950	248
03039 Benimassot	1940	230
03039 Benimassot	1930	287
03039 Benimassot	1920	279
03039 Benimassot	1910	292
03039 Benimassot	1900	336
03040 Benimeli	1991	322
03040 Benimeli	1981	384
03040 Benimeli	1970	355
03040 Benimeli	1960	411
03040 Benimeli	1950	371
03040 Benimeli	1940	397
03040 Benimeli	1930	445
03040 Benimeli	1920	431
03040 Benimeli	1910	444
03040 Benimeli	1900	454
03041 Benissa	1991	8.583
03041 Benissa	1981	7.023
03041 Benissa	1970	5.665
03041 Benissa	1960	5.023
03041 Benissa	1950	5.704
03041 Benissa	1940	6.036
03041 Benissa	1930	6.026
03041 Benissa	1920	5.931
03041 Benissa	1910	5.672
03041 Benissa	1900	5.706
03042 Benitachell/Poble Nou de Benitatxell, el	1991	1.583
03042 Benitachell/Poble Nou de Benitatxell, el	1981	1.525
03042 Benitachell/Poble Nou de Benitatxell, el	1970	1.492
03042 Benitachell/Poble Nou de Benitatxell, el	1960	1.606
03042 Benitachell/Poble Nou de Benitatxell, el	1950	1.662
03042 Benitachell/Poble Nou de Benitatxell, el	1940	1.775
03042 Benitachell/Poble Nou de Benitatxell, el	1930	1.729
03042 Benitachell/Poble Nou de Benitatxell, el	1920	1.785
03042 Benitachell/Poble Nou de Benitatxell, el	1910	1.765
03042 Benitachell/Poble Nou de Benitatxell, el	1900	1.885
03043 Biar	1991	3.395
03043 Biar	1981	3.151
03043 Biar	1970	2.976
03043 Biar	1960	2.748
03043 Biar	1950	2.733
03043 Biar	1940	2.838
03043 Biar	1930	3.287
03043 Biar	1920	3.274
03043 Biar	1910	3.534
03043 Biar	1900	3.550
03044 Bigastro	1991	4.414
03044 Bigastro	1981	4.049
03044 Bigastro	1970	3.513
03044 Bigastro	1960	3.398
03044 Bigastro	1950	2.801
03044 Bigastro	1940	2.633
03044 Bigastro	1930	2.328
03044 Bigastro	1920	1.986
03044 Bigastro	1910	1.924
03044 Bigastro	1900	1.490
03045 Bolulla	1991	257
03045 Bolulla	1981	298
03045 Bolulla	1970	456
03045 Bolulla	1960	526
03045 Bolulla	1950	600
03045 Bolulla	1940	638
03045 Bolulla	1930	689
03045 Bolulla	1920	801
03045 Bolulla	1910	701
03045 Bolulla	1900	901
03046 Busot	1991	968
03046 Busot	1981	652
03046 Busot	1970	730
03046 Busot	1960	715
03046 Busot	1950	614
03046 Busot	1940	709
03046 Busot	1930	836
03046 Busot	1920	937
03046 Busot	1910	1.258
03046 Busot	1900	1.275
03049 Callosa de Segura	1991	14.589
03049 Callosa de Segura	1981	14.183
03049 Callosa de Segura	1970	11.692
03049 Callosa de Segura	1960	12.966
03049 Callosa de Segura	1950	12.603
03049 Callosa de Segura	1940	10.599
03049 Callosa de Segura	1930	9.343
03049 Callosa de Segura	1920	7.130
03049 Callosa de Segura	1910	6.958
03049 Callosa de Segura	1900	5.275
03048 Callosa d'en Sarrià	1991	7.503
03048 Callosa d'en Sarrià	1981	7.127
03048 Callosa d'en Sarrià	1970	5.701
03048 Callosa d'en Sarrià	1960	4.617
03048 Callosa d'en Sarrià	1950	4.189
03048 Callosa d'en Sarrià	1940	4.101
03048 Callosa d'en Sarrià	1930	4.098
03048 Callosa d'en Sarrià	1920	4.070
03048 Callosa d'en Sarrià	1910	4.415
03048 Callosa d'en Sarrià	1900	4.195
03047 Calp	1991	10.962
03047 Calp	1981	8.000
03047 Calp	1970	3.399
03047 Calp	1960	2.177
03047 Calp	1950	1.970
03047 Calp	1940	1.922
03047 Calp	1930	2.241
03047 Calp	1920	2.480
03047 Calp	1910	2.306
03047 Calp	1900	2.415
03050 Campello, el	1991	11.094
03050 Campello, el	1981	8.335
03050 Campello, el	1970	5.871
03050 Campello, el	1960	4.477
03050 Campello, el	1950	3.746
03050 Campello, el	1940	3.582
03050 Campello, el	1930	3.012
