Municipios	Periodo	Total
12016 Artana	1991	1.902
12016 Artana	1981	2.024
12016 Artana	1970	2.169
12016 Artana	1960	2.106
12016 Artana	1950	2.214
12016 Artana	1940	2.183
12016 Artana	1930	2.780
12016 Artana	1920	2.695
12016 Artana	1910	2.845
12016 Artana	1900	2.758
12001 Atzeneta del Maestrat	1991	1.551
12001 Atzeneta del Maestrat	1981	1.789
12001 Atzeneta del Maestrat	1970	1.967
12001 Atzeneta del Maestrat	1960	2.513
12001 Atzeneta del Maestrat	1950	2.834
12001 Atzeneta del Maestrat	1940	2.786
12001 Atzeneta del Maestrat	1930	3.003
12001 Atzeneta del Maestrat	1920	3.117
12001 Atzeneta del Maestrat	1910	3.223
12001 Atzeneta del Maestrat	1900	2.992
12017 Ayódar	1991	192
12017 Ayódar	1981	211
12017 Ayódar	1970	297
12017 Ayódar	1960	510
12017 Ayódar	1950	674
12017 Ayódar	1940	731
12017 Ayódar	1930	858
12017 Ayódar	1920	875
12017 Ayódar	1910	883
12017 Ayódar	1900	947
12018 Azuébar	1991	395
12018 Azuébar	1981	428
12018 Azuébar	1970	506
12018 Azuébar	1960	525
12018 Azuébar	1950	556
12018 Azuébar	1940	590
12018 Azuébar	1930	686
12018 Azuébar	1920	788
12018 Azuébar	1910	792
12018 Azuébar	1900	762
12020 Barracas	1991	170
12020 Barracas	1981	232
12020 Barracas	1970	300
12020 Barracas	1960	426
12020 Barracas	1950	550
12020 Barracas	1940	467
12020 Barracas	1930	484
12020 Barracas	1920	518
12020 Barracas	1910	517
12020 Barracas	1900	495
12022 Bejís	1991	376
12022 Bejís	1981	524
12022 Bejís	1970	680
12022 Bejís	1960	891
12022 Bejís	1950	1.103
12022 Bejís	1940	1.010
12022 Bejís	1930	1.101
12022 Bejís	1920	1.238
12022 Bejís	1910	1.285
12022 Bejís	1900	1.276
12024 Benafer	1991	106
12024 Benafer	1981	130
12024 Benafer	1970	172
12024 Benafer	1960	259
12024 Benafer	1950	297
12024 Benafer	1940	290
12024 Benafer	1930	337
12024 Benafer	1920	373
12024 Benafer	1910	433
12024 Benafer	1900	442
12025 Benafigos	1991	259
12025 Benafigos	1981	319
12025 Benafigos	1970	514
12025 Benafigos	1960	714
12025 Benafigos	1950	852
12025 Benafigos	1940	829
12025 Benafigos	1930	872
12025 Benafigos	1920	936
12025 Benafigos	1910	919
12025 Benafigos	1900	803
12026 Benassal	1991	1.453
12026 Benassal	1981	1.529
12026 Benassal	1970	1.767
12026 Benassal	1960	1.965
12026 Benassal	1950	2.173
12026 Benassal	1940	2.254
