city,year,population
Alcoi/Alcoy,2020,59354
Alcoi/Alcoy,2019,58994
Alcoi/Alcoy,2018,58977
Alcoi/Alcoy,2017,59106
Alcoi/Alcoy,2016,59198
Alcoi/Alcoy,2015,59567
Alcoi/Alcoy,2014,59675
Alcoi/Alcoy,2013,60105
Alcoi/Alcoy,2012,60837
Alcoi/Alcoy,2011,61093
Alcoi/Alcoy,2010,61417
Alcoi/Alcoy,2009,61552
Alcoi/Alcoy,2008,61698
Alcoi/Alcoy,2007,60700
Alcoi/Alcoy,2006,60590
Alcoi/Alcoy,2005,60931
Alcoi/Alcoy,2004,60532
Alcoi/Alcoy,2003,60036
Alcoi/Alcoy,2002,60465
Alcoi/Alcoy,2001,60288
Alcoi/Alcoy,2000,60423
Alcoi/Alcoy,1999,60476
Alcoi/Alcoy,1998,60476
Alcoi/Alcoy,1996,60921
Alfafara,2025,419
Alfafara,2024,413
Alfafara,2023,419
Alfafara,2022,417
Alfafara,2021,408
Alfafara,2020,406
Alfafara,2019,410
Alfafara,2018,407
Alfafara,2017,405
Alfafara,2016,399
Alfafara,2015,406
Alfafara,2014,418
Alfafara,2013,415
Alfafara,2012,419
Alfafara,2011,424
Alfafara,2010,419
Alfafara,2009,413
Alfafara,2008,422
Alfafara,2007,430
Alfafara,2006,422
Alfafara,2005,430
Alfafara,2004,426
Alfafara,2003,411
Alfafara,2002,406
Alfafara,2001,389
Alfafara,2000,394
Alfafara,1999,388
Alfafara,1998,392
Alfafara,1996,391
"Alfàs del Pi, l'",2025,21080
"Alfàs del Pi, l'",2024,20160
"Alfàs del Pi, l'",2023,20518
"Alfàs del Pi, l'",2022,20668
"Alfàs del Pi, l'",2021,20495
"Alfàs del Pi, l'",2020,20042
"Alfàs del Pi, l'",2019,20482
"Alfàs del Pi, l'",2018,20053
"Alfàs del Pi, l'",2017,18394
"Alfàs del Pi, l'",2016,21494
"Alfàs del Pi, l'",2015,21700
"Alfàs del Pi, l'",2014,21357
"Alfàs del Pi, l'",2013,21969
"Alfàs del Pi, l'",2012,21964
"Alfàs del Pi, l'",2011,21670
"Alfàs del Pi, l'",2010,21332
"Alfàs del Pi, l'",2009,21011
"Alfàs del Pi, l'",2008,20939
"Alfàs del Pi, l'",2007,19913
"Alfàs del Pi, l'",2006,18469
"Alfàs del Pi, l'",2005,16843
