city,year,population
Ademuz,1996,1197
Ademuz,1998,1199
Ademuz,1999,1176
Ademuz,2000,1195
Ademuz,2001,1179
Ademuz,2002,1152
Ademuz,2003,1117
Ademuz,2004,1140
Ademuz,2005,1157
Ademuz,2006,1183
Ademuz,2007,1242
Ademuz,2008,1269
Ademuz,2009,1286
Ademuz,2010,1285
Ademuz,2011,1292
Ademuz,2012,1258
Ademuz,2013,1203
Ademuz,2014,1179
Ademuz,2015,1149
Ademuz,2016,1137
Ademuz,2017,1073
Ademuz,2018,1046
Ademuz,2019,1042
Ademuz,2020,1037
Ademuz,2021,1027
Ademuz,2022,1000
Ademuz,2023,1004
Ademuz,2024,1004
Ademuz,2025,1015
Ador,1996,1117
Ador,1998,1125
Ador,1999,1140
Ador,2000,1178
Ador,2001,1206
Ador,2002,1216
Ador,2003,1273
Ador,2004,1346
Ador,2005,1385
Ador,2006,1398
Ador,2007,1463
Ador,2008,1513
Ador,2009,1474
Ador,2010,1510
Ador,2011,1542
Ador,2012,1440
Ador,2013,1416
Ador,2014,1411
Ador,2015,1374
Ador,2016,1437
Ador,2017,1400
Ador,2018,1393
Ador,2019,1508
Ador,2020,1730
Ador,2021,1772
Ador,2022,1706
Ador,2023,1699
Ador,2024,1729
Ador,2025,1755
Agost,1996,4017
Agost,1998,4023
Agost,1999,4053
Agost,2000,4095
Agost,2001,4146
Agost,2002,4284
Agost,2003,4451
Agost,2004,4517
Agost,2005,4601
Agost,2006,4723
Agost,2007,4766
Agost,2008,4813
Agost,2009,4810
Agost,2010,4818
Agost,2011,4831
Agost,2012,4791
Agost,2013,4787
Agost,2014,4752
Agost,2015,4707
Agost,2016,4729
Agost,2017,4703
Agost,2018,4713
Agost,2019,4758
Agost,2020,4794
Agost,2021,4906
Agost,2022,4948
Agost,2023,5067
Agost,2024,5107
Agost,2025,5225
Agres,1996,656
Agres,1998,651
Agres,1999,649
Agres,2000,639
Agres,2001,632
Agres,2002,623
Agres,2003,622
Agres,2004,671
Agres,2005,653
Agres,2006,614
Agres,2007,623
Agres,2008,627
Agres,2009,619
Agres,2010,599
Agres,2011,610
Agres,2012,598
Agres,2013,565
Agres,2014,583
Agres,2015,574
Agres,2016,565
Agres,2017,549
Agres,2018,551
Agres,2019,565
Agres,2020,564
Agres,2021,580
Agres,2022,589
Agres,2023,619
Agres,2024,610
Agres,2025,623
Agullent,1996,2205
Agullent,1998,2204
Agullent,1999,2213
Agullent,2000,2223
Agullent,2001,2250
Agullent,2002,2289
Agullent,2003,2290
Agullent,2004,2352
Agullent,2005,2319
Agullent,2006,2334
Agullent,2007,2364
Agullent,2008,2418
Agullent,2009,2449
Agullent,2010,2463
Agullent,2011,2479
Agullent,2012,2465
Agullent,2013,2428
Agullent,2014,2435
Agullent,2015,2402
Agullent,2016,2395
Agullent,2017,2387
Agullent,2018,2413
Agullent,2019,2410
Agullent,2020,2388
Agullent,2021,2369
Agullent,2022,2361
Agullent,2023,2400
Agullent,2024,2416
Agullent,2025,2438
Aielo de Malferit,1996,3924
Aielo de Malferit,1998,3953
Aielo de Malferit,1999,3961
Aielo de Malferit,2000,3984
Aielo de Malferit,2001,4085
Aielo de Malferit,2002,4233
Aielo de Malferit,2003,4283
Aielo de Malferit,2004,4320
Aielo de Malferit,2005,4387
Aielo de Malferit,2006,4502
Aielo de Malferit,2007,4532
Aielo de Malferit,2008,4637
Aielo de Malferit,2009,4679
Aielo de Malferit,2010,4726
Aielo de Malferit,2011,4809
Aielo de Malferit,2012,4743
Aielo de Malferit,2013,4638
Aielo de Malferit,2014,4657
Aielo de Malferit,2015,4705
Aielo de Malferit,2016,4724
Aielo de Malferit,2017,4706
Aielo de Malferit,2018,4646
Aielo de Malferit,2019,4618
Aielo de Malferit,2020,4625
Aielo de Malferit,2021,4592
Aielo de Malferit,2022,4589
Aielo de Malferit,2023,4601
Aielo de Malferit,2024,4599
Aielo de Malferit,2025,4624
Aielo de Rugat,1996,196
Aielo de Rugat,1998,193
Aielo de Rugat,1999,193
Aielo de Rugat,2000,208
Aielo de Rugat,2001,206
Aielo de Rugat,2002,207
Aielo de Rugat,2003,209
Aielo de Rugat,2004,207
Aielo de Rugat,2005,209
Aielo de Rugat,2006,202
Aielo de Rugat,2007,197
Aielo de Rugat,2008,188
Aielo de Rugat,2009,189
