city,year,population
03003 Agres,1996,656
03003 Agres,1997,
03003 Agres,1998,651
03003 Agres,1999,649
03003 Agres,2000,639
03003 Agres,2001,632
03003 Agres,2002,623
03003 Agres,2003,622
03003 Agres,2004,671
03003 Agres,2005,653
03003 Agres,2006,614
03003 Agres,2007,623
03003 Agres,2008,627
03003 Agres,2009,619
03003 Agres,2010,599
03003 Agres,2011,610
03003 Agres,2012,598
03003 Agres,2013,565
03003 Agres,2014,583
03003 Agres,2015,574
03003 Agres,2016,565
03003 Agres,2017,549
03003 Agres,2018,551
03003 Agres,2019,565
03003 Agres,2020,564
03003 Agres,2021,580
03003 Agres,2022,589
03003 Agres,1900,1133
03003 Agres,1910,1372
03003 Agres,1920,1276
03003 Agres,1930,1218
03003 Agres,1940,1171
03003 Agres,1950,1163
03003 Agres,1960,1028
03003 Agres,1970,897
03003 Agres,1981,729
03003 Agres,1991,626
03004 Aigües,1996,544
03004 Aigües,1997,
03004 Aigües,1998,558
03004 Aigües,1999,579
03004 Aigües,2000,581
03004 Aigües,2001,592
03004 Aigües,2002,624
03004 Aigües,2003,637
03004 Aigües,2004,737
03004 Aigües,2005,801
03004 Aigües,2006,827
03004 Aigües,2007,951
03004 Aigües,2008,1047
03004 Aigües,2009,1064
03004 Aigües,2010,1084
03004 Aigües,2011,1118
03004 Aigües,2012,1105
03004 Aigües,2013,1073
03004 Aigües,2014,984
03004 Aigües,2015,937
03004 Aigües,2016,921
03004 Aigües,2017,913
03004 Aigües,2018,936
03004 Aigües,2019,963
03004 Aigües,2020,986
03004 Aigües,2021,1049
03004 Aigües,2022,1085
03004 Aigües,1900,1300
03004 Aigües,1910,1230
03004 Aigües,1920,1207
03004 Aigües,1930,911
03004 Aigües,1940,1041
03004 Aigües,1950,1162
03004 Aigües,1960,867
03004 Aigües,1970,489
03004 Aigües,1981,374
03004 Aigües,1991,384
03005 Albatera,1996,8417
03005 Albatera,1997,
03005 Albatera,1998,8521
03005 Albatera,1999,8661
03005 Albatera,2000,8811
03005 Albatera,2001,9080
03005 Albatera,2002,9363
03005 Albatera,2003,9636
03005 Albatera,2004,10001
03005 Albatera,2005,10449
03005 Albatera,2006,10878
03005 Albatera,2007,11102
03005 Albatera,2008,11656
03005 Albatera,2009,11745
03005 Albatera,2010,11821
03005 Albatera,2011,11901
03005 Albatera,2012,11936
03005 Albatera,2013,11983
03005 Albatera,2014,11767
03005 Albatera,2015,11780
03005 Albatera,2016,11756
03005 Albatera,2017,11850
03005 Albatera,2018,12042
03005 Albatera,2019,12279
03005 Albatera,2020,12474
03005 Albatera,2021,12714
03005 Albatera,2022,12864
03005 Albatera,1900,3939
03005 Albatera,1910,4047
03005 Albatera,1920,3821
03005 Albatera,1930,3897
03005 Albatera,1940,4582
03005 Albatera,1950,4858
03005 Albatera,1960,6026
03005 Albatera,1970,6848
03005 Albatera,1981,8076
03005 Albatera,1991,8795
03006 Alcalalí,1996,842
03006 Alcalalí,1997,
03006 Alcalalí,1998,818
03006 Alcalalí,1999,941
03006 Alcalalí,2000,981
03006 Alcalalí,2001,1024
03006 Alcalalí,2002,1081
03006 Alcalalí,2003,1150
03006 Alcalalí,2004,1216
03006 Alcalalí,2005,1352
03006 Alcalalí,2006,1418
03006 Alcalalí,2007,1395
03006 Alcalalí,2008,1500
03006 Alcalalí,2009,1507
03006 Alcalalí,2010,1524
03006 Alcalalí,2011,1433
03006 Alcalalí,2012,1433
03006 Alcalalí,2013,1401
03006 Alcalalí,2014,1350
03006 Alcalalí,2015,1311
03006 Alcalalí,2016,1291
03006 Alcalalí,2017,1276
03006 Alcalalí,2018,1298
03006 Alcalalí,2019,1278
03006 Alcalalí,2020,1302
03006 Alcalalí,2021,1336
03006 Alcalalí,2022,1349
03006 Alcalalí,1900,1118
03006 Alcalalí,1910,925
03006 Alcalalí,1920,909
03006 Alcalalí,1930,1010
03006 Alcalalí,1940,961
03006 Alcalalí,1950,831
03006 Alcalalí,1960,731
03006 Alcalalí,1970,685
03006 Alcalalí,1981,611
03006 Alcalalí,1991,855
03007 Alcosser,1996,122
03007 Alcosser,1997,
03007 Alcosser,1998,130
03007 Alcosser,1999,123
03007 Alcosser,2000,129
03007 Alcosser,2001,138
03007 Alcosser,2002,154
03007 Alcosser,2003,164
03007 Alcosser,2004,177
03007 Alcosser,2005,179
03007 Alcosser,2006,194
03007 Alcosser,2007,216
03007 Alcosser,2008,234
03007 Alcosser,2009,228
03007 Alcosser,2010,230
03007 Alcosser,2011,231
03007 Alcosser,2012,233
03007 Alcosser,2013,241
03007 Alcosser,2014,238
03007 Alcosser,2015,216
03007 Alcosser,2016,221
03007 Alcosser,2017,230
03007 Alcosser,2018,229
03007 Alcosser,2019,230
03007 Alcosser,2020,226
03007 Alcosser,2021,243
03007 Alcosser,2022,254
03007 Alcosser,1900,347
03007 Alcosser,1910,327
03007 Alcosser,1920,344
03007 Alcosser,1930,299
03007 Alcosser,1940,301
03007 Alcosser,1950,269
03007 Alcosser,1960,221
03007 Alcosser,1970,184
03007 Alcosser,1981,245
03007 Alcosser,1991,109
03008 Alcoleja,1996,294
03008 Alcoleja,1997,
03008 Alcoleja,1998,279
03008 Alcoleja,1999,271
03008 Alcoleja,2000,257
03008 Alcoleja,2001,256
03008 Alcoleja,2002,245
03008 Alcoleja,2003,244
03008 Alcoleja,2004,241
03008 Alcoleja,2005,228
03008 Alcoleja,2006,213
03008 Alcoleja,2007,219
03008 Alcoleja,2008,211
03008 Alcoleja,2009,206
03008 Alcoleja,2010,201
03008 Alcoleja,2011,193
03008 Alcoleja,2012,204
03008 Alcoleja,2013,199
03008 Alcoleja,2014,191
03008 Alcoleja,2015,184
03008 Alcoleja,2016,194
03008 Alcoleja,2017,185
03008 Alcoleja,2018,180
03008 Alcoleja,2019,173
03008 Alcoleja,2020,177
03008 Alcoleja,2021,181
03008 Alcoleja,2022,196
03008 Alcoleja,1900,964
03008 Alcoleja,1910,942
03008 Alcoleja,1920,873
03008 Alcoleja,1930,822
03008 Alcoleja,1940,785
03008 Alcoleja,1950,768
03008 Alcoleja,1960,867
03008 Alcoleja,1970,445
03008 Alcoleja,1981,346
03008 Alcoleja,1991,301
03009 Alcoy/Alcoi,1996,60921
03009 Alcoy/Alcoi,1997,
03009 Alcoy/Alcoi,1998,60476
03009 Alcoy/Alcoi,1999,60476
03009 Alcoy/Alcoi,2000,60423
03009 Alcoy/Alcoi,2001,60288
03009 Alcoy/Alcoi,2002,60465
03009 Alcoy/Alcoi,2003,60036
03009 Alcoy/Alcoi,2004,60532
03009 Alcoy/Alcoi,2005,60931
03009 Alcoy/Alcoi,2006,60590
03009 Alcoy/Alcoi,2007,60700
03009 Alcoy/Alcoi,2008,61698
03009 Alcoy/Alcoi,2009,61552
03009 Alcoy/Alcoi,2010,61417
03009 Alcoy/Alcoi,2011,61093
03009 Alcoy/Alcoi,2012,60837
03009 Alcoy/Alcoi,2013,60105
03009 Alcoy/Alcoi,2014,59675
03009 Alcoy/Alcoi,2015,59567
03009 Alcoy/Alcoi,2016,59198
03009 Alcoy/Alcoi,2017,59106
03009 Alcoy/Alcoi,2018,58977
03009 Alcoy/Alcoi,2019,58994
03009 Alcoy/Alcoi,2020,59354
03009 Alcoy/Alcoi,2021,59128
03009 Alcoy/Alcoi,2022,58960
03009 Alcoy/Alcoi,1900,32053
03009 Alcoy/Alcoi,1910,33896
03009 Alcoy/Alcoi,1920,36463
03009 Alcoy/Alcoi,1930,38739
03009 Alcoy/Alcoi,1940,45792
03009 Alcoy/Alcoi,1950,43880
03009 Alcoy/Alcoi,1960,51096
03009 Alcoy/Alcoi,1970,61371
03009 Alcoy/Alcoi,1981,65908
03009 Alcoy/Alcoi,1991,64579
03010 Alfafara,1996,391
03010 Alfafara,1997,
03010 Alfafara,1998,392
03010 Alfafara,1999,388
03010 Alfafara,2000,394
03010 Alfafara,2001,389
03010 Alfafara,2002,406
03010 Alfafara,2003,411
03010 Alfafara,2004,426
03010 Alfafara,2005,430
03010 Alfafara,2006,422
03010 Alfafara,2007,430
03010 Alfafara,2008,422
03010 Alfafara,2009,413
03010 Alfafara,2010,419
03010 Alfafara,2011,424
03010 Alfafara,2012,419
03010 Alfafara,2013,415
03010 Alfafara,2014,418
03010 Alfafara,2015,406
03010 Alfafara,2016,399
03010 Alfafara,2017,405
03010 Alfafara,2018,407
03010 Alfafara,2019,410
03010 Alfafara,2020,406
03010 Alfafara,2021,408
03010 Alfafara,2022,417
03010 Alfafara,1900,562
03010 Alfafara,1910,668
03010 Alfafara,1920,622
03010 Alfafara,1930,595
03010 Alfafara,1940,644
03010 Alfafara,1950,600
03010 Alfafara,1960,484
03010 Alfafara,1970,458
03010 Alfafara,1981,403
03010 Alfafara,1991,374
"03011 Alfàs del Pi, l'",1996,12547
"03011 Alfàs del Pi, l'",1997,
"03011 Alfàs del Pi, l'",1998,13145
"03011 Alfàs del Pi, l'",1999,13226
"03011 Alfàs del Pi, l'",2000,14139
"03011 Alfàs del Pi, l'",2001,14980
"03011 Alfàs del Pi, l'",2002,15848
"03011 Alfàs del Pi, l'",2003,16164
"03011 Alfàs del Pi, l'",2004,14656
"03011 Alfàs del Pi, l'",2005,16843
"03011 Alfàs del Pi, l'",2006,18469
"03011 Alfàs del Pi, l'",2007,19913
"03011 Alfàs del Pi, l'",2008,20939
"03011 Alfàs del Pi, l'",2009,21011
"03011 Alfàs del Pi, l'",2010,21332
"03011 Alfàs del Pi, l'",2011,21670
"03011 Alfàs del Pi, l'",2012,21964
"03011 Alfàs del Pi, l'",2013,21969
"03011 Alfàs del Pi, l'",2014,21357
"03011 Alfàs del Pi, l'",2015,21700
"03011 Alfàs del Pi, l'",2016,21494
"03011 Alfàs del Pi, l'",2017,18394
"03011 Alfàs del Pi, l'",2018,20053
"03011 Alfàs del Pi, l'",2019,20482
"03011 Alfàs del Pi, l'",2020,20042
"03011 Alfàs del Pi, l'",2021,20495
"03011 Alfàs del Pi, l'",2022,20668
"03011 Alfàs del Pi, l'",1900,1186
"03011 Alfàs del Pi, l'",1910,1138
"03011 Alfàs del Pi, l'",1920,1043
"03011 Alfàs del Pi, l'",1930,1104
"03011 Alfàs del Pi, l'",1940,991
"03011 Alfàs del Pi, l'",1950,952
"03011 Alfàs del Pi, l'",1960,955
"03011 Alfàs del Pi, l'",1970,2527
"03011 Alfàs del Pi, l'",1981,5040
"03011 Alfàs del Pi, l'",1991,6671
03012 Algorfa,1996,1140
03012 Algorfa,1997,
03012 Algorfa,1998,1168
03012 Algorfa,1999,1220
03012 Algorfa,2000,1243
03012 Algorfa,2001,1507
03012 Algorfa,2002,1589
03012 Algorfa,2003,1782
03012 Algorfa,2004,1956
03012 Algorfa,2005,2297
03012 Algorfa,2006,2914
03012 Algorfa,2007,3645
03012 Algorfa,2008,4125
03012 Algorfa,2009,4346
03012 Algorfa,2010,4537
03012 Algorfa,2011,4625
03012 Algorfa,2012,4755
03012 Algorfa,2013,5004
03012 Algorfa,2014,3799
03012 Algorfa,2015,3693
03012 Algorfa,2016,3222
03012 Algorfa,2017,2761
03012 Algorfa,2018,2838
03012 Algorfa,2019,2935
03012 Algorfa,2020,3125
03012 Algorfa,2021,3396
03012 Algorfa,2022,3513
03012 Algorfa,1900,422
03012 Algorfa,1910,429
03012 Algorfa,1920,494
03012 Algorfa,1930,445
03012 Algorfa,1940,517
03012 Algorfa,1950,751
03012 Algorfa,1960,960
03012 Algorfa,1970,968
03012 Algorfa,1981,1068
03012 Algorfa,1991,1113
03013 Algueña,1996,1425
03013 Algueña,1997,
03013 Algueña,1998,1428
03013 Algueña,1999,1459
03013 Algueña,2000,1447
03013 Algueña,2001,1454
03013 Algueña,2002,1464
03013 Algueña,2003,1449
03013 Algueña,2004,1452
03013 Algueña,2005,1501
03013 Algueña,2006,1528
03013 Algueña,2007,1515
03013 Algueña,2008,1561
03013 Algueña,2009,1551
03013 Algueña,2010,1530
03013 Algueña,2011,1503
03013 Algueña,2012,1527
03013 Algueña,2013,1528
03013 Algueña,2014,1457
03013 Algueña,2015,1413
03013 Algueña,2016,1391
03013 Algueña,2017,1372
03013 Algueña,2018,1341
03013 Algueña,2019,1336
03013 Algueña,2020,1326
03013 Algueña,2021,1334
03013 Algueña,2022,1351
03013 Algueña,1900,
03013 Algueña,1910,
03013 Algueña,1920,
03013 Algueña,1930,
03013 Algueña,1940,1667
03013 Algueña,1950,1888
03013 Algueña,1960,1722
03013 Algueña,1970,1589
03013 Algueña,1981,1609
03013 Algueña,1991,1498
03014 Alicante/Alacant,1996,274577
03014 Alicante/Alacant,1997,
03014 Alicante/Alacant,1998,272432
03014 Alicante/Alacant,1999,272432
03014 Alicante/Alacant,2000,276886
03014 Alicante/Alacant,2001,283243
03014 Alicante/Alacant,2002,293629
03014 Alicante/Alacant,2003,305911
03014 Alicante/Alacant,2004,310330
03014 Alicante/Alacant,2005,319380
03014 Alicante/Alacant,2006,322431
03014 Alicante/Alacant,2007,322673
03014 Alicante/Alacant,2008,331750
03014 Alicante/Alacant,2009,334757
03014 Alicante/Alacant,2010,334418
03014 Alicante/Alacant,2011,334329
03014 Alicante/Alacant,2012,334678
03014 Alicante/Alacant,2013,335052
03014 Alicante/Alacant,2014,332067
03014 Alicante/Alacant,2015,328648
03014 Alicante/Alacant,2016,330525
03014 Alicante/Alacant,2017,329988
03014 Alicante/Alacant,2018,331577
03014 Alicante/Alacant,2019,334887
03014 Alicante/Alacant,2020,337482
03014 Alicante/Alacant,2021,337304
03014 Alicante/Alacant,2022,338577
03014 Alicante/Alacant,1900,50142
03014 Alicante/Alacant,1910,55300
03014 Alicante/Alacant,1920,63908
03014 Alicante/Alacant,1930,73071
03014 Alicante/Alacant,1940,96729
03014 Alicante/Alacant,1950,104222
03014 Alicante/Alacant,1960,121527
03014 Alicante/Alacant,1970,184716
03014 Alicante/Alacant,1981,251387
03014 Alicante/Alacant,1991,275111
03015 Almoradí,1996,13479
03015 Almoradí,1997,
03015 Almoradí,1998,13499
03015 Almoradí,1999,13606
03015 Almoradí,2000,13807
03015 Almoradí,2001,13995
03015 Almoradí,2002,14334
03015 Almoradí,2003,14904
03015 Almoradí,2004,15450
03015 Almoradí,2005,16547
03015 Almoradí,2006,17494
03015 Almoradí,2007,17945
03015 Almoradí,2008,18536
03015 Almoradí,2009,19147
03015 Almoradí,2010,19598
03015 Almoradí,2011,19371
03015 Almoradí,2012,19601
03015 Almoradí,2013,19788
03015 Almoradí,2014,19992
03015 Almoradí,2015,19955
03015 Almoradí,2016,20138
03015 Almoradí,2017,20332
03015 Almoradí,2018,20542
03015 Almoradí,2019,20803
03015 Almoradí,2020,21208
03015 Almoradí,2021,21404
03015 Almoradí,2022,21401
03015 Almoradí,1900,4960
03015 Almoradí,1910,4986
03015 Almoradí,1920,7189
03015 Almoradí,1930,8864
03015 Almoradí,1940,10459
03015 Almoradí,1950,10930
03015 Almoradí,1960,11141
03015 Almoradí,1970,11576
03015 Almoradí,1981,13398
03015 Almoradí,1991,12304
03016 Almudaina,1996,125
03016 Almudaina,1997,
03016 Almudaina,1998,118
03016 Almudaina,1999,111
03016 Almudaina,2000,117
03016 Almudaina,2001,112
03016 Almudaina,2002,113
03016 Almudaina,2003,108
03016 Almudaina,2004,111
03016 Almudaina,2005,116
03016 Almudaina,2006,119
03016 Almudaina,2007,127
03016 Almudaina,2008,129
03016 Almudaina,2009,129
03016 Almudaina,2010,132
03016 Almudaina,2011,131
03016 Almudaina,2012,129
03016 Almudaina,2013,128
03016 Almudaina,2014,112
03016 Almudaina,2015,114
03016 Almudaina,2016,119
03016 Almudaina,2017,113
03016 Almudaina,2018,104
03016 Almudaina,2019,113
03016 Almudaina,2020,109
03016 Almudaina,2021,117
03016 Almudaina,2022,112
03016 Almudaina,1900,473
03016 Almudaina,1910,442
03016 Almudaina,1920,458
03016 Almudaina,1930,399
03016 Almudaina,1940,375
03016 Almudaina,1950,312
03016 Almudaina,1960,245
03016 Almudaina,1970,228
03016 Almudaina,1981,155
03016 Almudaina,1991,106
"03017 Alqueria d'Asnar, l'",1996,407
"03017 Alqueria d'Asnar, l'",1997,
"03017 Alqueria d'Asnar, l'",1998,395
"03017 Alqueria d'Asnar, l'",1999,416
"03017 Alqueria d'Asnar, l'",2000,418
"03017 Alqueria d'Asnar, l'",2001,432
"03017 Alqueria d'Asnar, l'",2002,432
"03017 Alqueria d'Asnar, l'",2003,402
"03017 Alqueria d'Asnar, l'",2004,410
"03017 Alqueria d'Asnar, l'",2005,449
"03017 Alqueria d'Asnar, l'",2006,453
"03017 Alqueria d'Asnar, l'",2007,455
"03017 Alqueria d'Asnar, l'",2008,470
"03017 Alqueria d'Asnar, l'",2009,508
"03017 Alqueria d'Asnar, l'",2010,494
"03017 Alqueria d'Asnar, l'",2011,508
"03017 Alqueria d'Asnar, l'",2012,515
"03017 Alqueria d'Asnar, l'",2013,512
"03017 Alqueria d'Asnar, l'",2014,527
"03017 Alqueria d'Asnar, l'",2015,522
"03017 Alqueria d'Asnar, l'",2016,517
"03017 Alqueria d'Asnar, l'",2017,496
"03017 Alqueria d'Asnar, l'",2018,491
"03017 Alqueria d'Asnar, l'",2019,493
"03017 Alqueria d'Asnar, l'",2020,493
"03017 Alqueria d'Asnar, l'",2021,498
"03017 Alqueria d'Asnar, l'",2022,489
"03017 Alqueria d'Asnar, l'",1900,223
"03017 Alqueria d'Asnar, l'",1910,221
"03017 Alqueria d'Asnar, l'",1920,249
"03017 Alqueria d'Asnar, l'",1930,378
"03017 Alqueria d'Asnar, l'",1940,439
"03017 Alqueria d'Asnar, l'",1950,480
"03017 Alqueria d'Asnar, l'",1960,525
"03017 Alqueria d'Asnar, l'",1970,527
"03017 Alqueria d'Asnar, l'",1981,406
"03017 Alqueria d'Asnar, l'",1991,372
03018 Altea,1996,13519
03018 Altea,1997,
03018 Altea,1998,13976
03018 Altea,1999,14711
03018 Altea,2000,15579
03018 Altea,2001,16294
03018 Altea,2002,17608
03018 Altea,2003,18976
03018 Altea,2004,19514
03018 Altea,2005,21154
03018 Altea,2006,21898
03018 Altea,2007,22648
03018 Altea,2008,23532
03018 Altea,2009,23780
03018 Altea,2010,24006
03018 Altea,2011,24056
03018 Altea,2012,24298
03018 Altea,2013,24333
03018 Altea,2014,22518
03018 Altea,2015,22385
03018 Altea,2016,21739
03018 Altea,2017,21813
03018 Altea,2018,21995
03018 Altea,2019,22290
03018 Altea,2020,22558
03018 Altea,2021,22657
03018 Altea,2022,23010
03018 Altea,1900,5977
03018 Altea,1910,5694
03018 Altea,1920,4865
03018 Altea,1930,5580
03018 Altea,1940,5829
03018 Altea,1950,5738
03018 Altea,1960,5620
03018 Altea,1970,8804
03018 Altea,1981,11108
03018 Altea,1991,12829
03019 Aspe,1996,16391
03019 Aspe,1997,
03019 Aspe,1998,16406
03019 Aspe,1999,16492
03019 Aspe,2000,16593
03019 Aspe,2001,16692
03019 Aspe,2002,16976
03019 Aspe,2003,17423
03019 Aspe,2004,17833
03019 Aspe,2005,18203
03019 Aspe,2006,18821
03019 Aspe,2007,19246
03019 Aspe,2008,19893
03019 Aspe,2009,20180
03019 Aspe,2010,20360
03019 Aspe,2011,20292
03019 Aspe,2012,20309
03019 Aspe,2013,20341
03019 Aspe,2014,20248
03019 Aspe,2015,20406
03019 Aspe,2016,20482
03019 Aspe,2017,20425
03019 Aspe,2018,20537
03019 Aspe,2019,20714
03019 Aspe,2020,20804
03019 Aspe,2021,21088
03019 Aspe,2022,21191
03019 Aspe,1900,7927
03019 Aspe,1910,7961
03019 Aspe,1920,7650
03019 Aspe,1930,7351
03019 Aspe,1940,7812
03019 Aspe,1950,8770
03019 Aspe,1960,10279
03019 Aspe,1970,13229
03019 Aspe,1981,15094
03019 Aspe,1991,15923
03020 Balones,1996,176
03020 Balones,1997,
03020 Balones,1998,178
03020 Balones,1999,181
03020 Balones,2000,183
03020 Balones,2001,184
03020 Balones,2002,180
03020 Balones,2003,172
03020 Balones,2004,171
03020 Balones,2005,169
03020 Balones,2006,160
03020 Balones,2007,163
03020 Balones,2008,157
03020 Balones,2009,163
03020 Balones,2010,156
03020 Balones,2011,162
03020 Balones,2012,157
03020 Balones,2013,147
03020 Balones,2014,139
03020 Balones,2015,133
03020 Balones,2016,129
03020 Balones,2017,128
03020 Balones,2018,122
03020 Balones,2019,131
03020 Balones,2020,128
03020 Balones,2021,134
03020 Balones,2022,126
03020 Balones,1900,381
03020 Balones,1910,353
03020 Balones,1920,313
03020 Balones,1930,322
03020 Balones,1940,298
03020 Balones,1950,303
03020 Balones,1960,293
03020 Balones,1970,242
03020 Balones,1981,203
03020 Balones,1991,152
03021 Banyeres de Mariola,1996,7056
03021 Banyeres de Mariola,1997,
03021 Banyeres de Mariola,1998,6848
03021 Banyeres de Mariola,1999,6848
03021 Banyeres de Mariola,2000,6906
03021 Banyeres de Mariola,2001,6983
03021 Banyeres de Mariola,2002,7050
03021 Banyeres de Mariola,2003,7321
03021 Banyeres de Mariola,2004,7314
03021 Banyeres de Mariola,2005,7282
03021 Banyeres de Mariola,2006,7237
03021 Banyeres de Mariola,2007,7193
03021 Banyeres de Mariola,2008,7194
03021 Banyeres de Mariola,2009,7240
03021 Banyeres de Mariola,2010,7229
03021 Banyeres de Mariola,2011,7200
03021 Banyeres de Mariola,2012,7222
03021 Banyeres de Mariola,2013,7157
03021 Banyeres de Mariola,2014,7174
03021 Banyeres de Mariola,2015,7155
03021 Banyeres de Mariola,2016,7108
03021 Banyeres de Mariola,2017,7102
03021 Banyeres de Mariola,2018,7113
03021 Banyeres de Mariola,2019,7068
03021 Banyeres de Mariola,2020,7090
03021 Banyeres de Mariola,2021,7113
03021 Banyeres de Mariola,2022,7201
03021 Banyeres de Mariola,1900,3317
03021 Banyeres de Mariola,1910,3224
03021 Banyeres de Mariola,1920,3691
03021 Banyeres de Mariola,1930,3698
03021 Banyeres de Mariola,1940,3447
03021 Banyeres de Mariola,1950,3729
03021 Banyeres de Mariola,1960,4967
03021 Banyeres de Mariola,1970,5873
03021 Banyeres de Mariola,1981,6684
03021 Banyeres de Mariola,1991,6919
03022 Benasau,1996,210
03022 Benasau,1997,
03022 Benasau,1998,200
03022 Benasau,1999,195
03022 Benasau,2000,189
03022 Benasau,2001,187
03022 Benasau,2002,196
03022 Benasau,2003,233
03022 Benasau,2004,237
03022 Benasau,2005,222
03022 Benasau,2006,210
03022 Benasau,2007,210
03022 Benasau,2008,198
03022 Benasau,2009,190
03022 Benasau,2010,171
03022 Benasau,2011,178
03022 Benasau,2012,174
03022 Benasau,2013,157
03022 Benasau,2014,158
03022 Benasau,2015,155
03022 Benasau,2016,158
03022 Benasau,2017,157
03022 Benasau,2018,156
03022 Benasau,2019,151
03022 Benasau,2020,156
03022 Benasau,2021,170
03022 Benasau,2022,171
03022 Benasau,1900,651
03022 Benasau,1910,516
03022 Benasau,1920,493
03022 Benasau,1930,478
03022 Benasau,1940,481
03022 Benasau,1950,470
03022 Benasau,1960,397
03022 Benasau,1970,341
03022 Benasau,1981,253
03022 Benasau,1991,221
03023 Beneixama,1996,1799
03023 Beneixama,1997,
03023 Beneixama,1998,1796
03023 Beneixama,1999,1796
03023 Beneixama,2000,1795
03023 Beneixama,2001,1840
03023 Beneixama,2002,1816
03023 Beneixama,2003,1931
03023 Beneixama,2004,1939
03023 Beneixama,2005,1886
03023 Beneixama,2006,1802
03023 Beneixama,2007,1828
03023 Beneixama,2008,1837
03023 Beneixama,2009,1811
03023 Beneixama,2010,1820
03023 Beneixama,2011,1817
03023 Beneixama,2012,1792
03023 Beneixama,2013,1778
03023 Beneixama,2014,1738
03023 Beneixama,2015,1746
03023 Beneixama,2016,1712
03023 Beneixama,2017,1710
03023 Beneixama,2018,1703
03023 Beneixama,2019,1685
03023 Beneixama,2020,1690
03023 Beneixama,2021,1707
03023 Beneixama,2022,1705
03023 Beneixama,1900,2529
03023 Beneixama,1910,2622
03023 Beneixama,1920,2328
03023 Beneixama,1930,2197
03023 Beneixama,1940,2073
03023 Beneixama,1950,2183
03023 Beneixama,1960,2252
03023 Beneixama,1970,2078
03023 Beneixama,1981,1895
03023 Beneixama,1991,1866
03024 Benejúzar,1996,5009
03024 Benejúzar,1997,
03024 Benejúzar,1998,5067
03024 Benejúzar,1999,5067
03024 Benejúzar,2000,4942
03024 Benejúzar,2001,5007
03024 Benejúzar,2002,5019
03024 Benejúzar,2003,5114
03024 Benejúzar,2004,5216
03024 Benejúzar,2005,5249
03024 Benejúzar,2006,5306
03024 Benejúzar,2007,5419
03024 Benejúzar,2008,5472
03024 Benejúzar,2009,5467
03024 Benejúzar,2010,5474
03024 Benejúzar,2011,5459
03024 Benejúzar,2012,5425
03024 Benejúzar,2013,5453
03024 Benejúzar,2014,5394
03024 Benejúzar,2015,5398
03024 Benejúzar,2016,5364
03024 Benejúzar,2017,5372
03024 Benejúzar,2018,5361
03024 Benejúzar,2019,5402
03024 Benejúzar,2020,5435
03024 Benejúzar,2021,5453
03024 Benejúzar,2022,5480
03024 Benejúzar,1900,2094
03024 Benejúzar,1910,2518
03024 Benejúzar,1920,2634
03024 Benejúzar,1930,2977
03024 Benejúzar,1940,3119
03024 Benejúzar,1950,3527
03024 Benejúzar,1960,3705
03024 Benejúzar,1970,3516
03024 Benejúzar,1981,4041
03024 Benejúzar,1991,4621
03025 Benferri,1996,1011
03025 Benferri,1997,
03025 Benferri,1998,982
